"Age","Height","Weight","Female","Gold","Silver","Bronze","Total","Sport","Event","Color","Symbol","FirstEvent","kfold"
26,188,76,0,0,0,0,0,"Swimming","Men's 100m Breaststroke","#FFFF33",17,"Men's 100m Breaststroke",8
28,181,82,0,0,0,0,0,"Tennis","Men's Singles","#E41A1C",18,"Men's Singles",7
26,172,60,0,0,0,0,0,"Cycling","Men's BMX","#E41A1C",16,"Men's BMX",1
29,168,70,1,0,0,0,0,"Athletics","Women's Hammer Throw","#377EB8",15,"Women's Hammer Throw",3
14,162,50,1,0,0,0,0,"Swimming","Women's 200m Freestyle","#FFFF33",17,"Women's 200m Freestyle",3
26,175,72,0,0,0,0,0,"Badminton","Men's Doubles","#4DAF4A",15,"Men's Doubles",10
23,173,69,1,0,0,0,0,"Swimming","Women's 10km Marathon","#FFFF33",17,"Women's 10km Marathon",6
22,170,62,1,0,1,0,1,"Archery","Women's Individual, Women's Team","#E41A1C",15,"Women's Individual",1
26,183,67,0,0,0,0,0,"Sailing","Men's 470","#984EA3",17,"Men's 470",2
29,165,58,0,0,0,0,0,"Athletics","Men's 5000m, Men's 10,000m","#377EB8",15,"Men's 5000m",2
30,168,66,0,0,0,0,0,"Judo","Men's -66kg","#E41A1C",17,"Men's -66kg",5
20,164,64,1,0,0,0,0,"Diving","Women's 3m Springboard","#377EB8",16,"Women's 3m Springboard",6
27,170,59,1,0,0,0,0,"Athletics","Women's Heptathlon","#377EB8",15,"Women's Heptathlon",9
24,165,66,0,0,0,0,0,"Judo","Men's -66kg","#E41A1C",17,"Men's -66kg",2
45,183,83,0,0,0,0,0,"Shooting","Men's 10m Air Rifle, Men's 50m Rifle Prone, Men's 50m Rifle 3 Positions","#FF7F00",17,"Men's 10m Air Rifle",7
30,187,98,0,0,0,0,0,"Athletics","Men's Javelin Throw","#377EB8",15,"Men's Javelin Throw",7
28,183,77,0,0,0,0,0,"Cycling","Men's Road Race","#E41A1C",16,"Men's Road Race",2
21,183,71,1,0,0,1,1,"Swimming","Women's 4x200m Freestyle Relay","#FFFF33",17,"Women's 4x200m Freestyle Relay",9
26,168,85,0,0,0,0,0,"Weightlifting","Men's 85kg","#FF7F00",18,"Men's 85kg",7
25,170,66,0,0,0,0,0,"Judo","Men's -66kg","#E41A1C",17,"Men's -66kg",4
24,163,55,1,0,0,0,0,"Badminton","Women's Singles","#4DAF4A",15,"Women's Singles",2
39,191,109,0,0,0,0,0,"Sailing","Men's Star","#984EA3",17,"Men's Star",6
22,175,72,0,0,0,0,0,"Archery","Men's Individual, Men's Team","#E41A1C",15,"Men's Individual",3
35,180,83,0,0,0,0,0,"Shooting","Men's Double Trap","#FF7F00",17,"Men's Double Trap",5
19,165,55,1,0,0,0,0,"Swimming","Women's 800m Freestyle, Women's 4x200m Freestyle Relay","#FFFF33",17,"Women's 800m Freestyle",3
29,183,63,0,0,0,0,0,"Athletics","Men's Marathon","#377EB8",15,"Men's Marathon",1
25,177,73,1,0,0,0,0,"Swimming","Women's 100m Freestyle","#FFFF33",17,"Women's 100m Freestyle",1
21,180,75,0,0,0,0,0,"Fencing","Men's Individual Epee","#984EA3",16,"Men's Individual Epee",1
32,173,64,1,0,0,0,0,"Canoe Sprint","Women's Kayak Four (K4) 500m","#A65628",15,"Women's Kayak Four (K4) 500m",3
35,192,93,0,0,0,0,0,"Handball","Men's Handball","#FFFF33",16,"Men's Handball",7
44,175,70,0,0,0,0,0,"Shooting","Men's 10m Air Rifle, Men's 50m Rifle Prone, Men's 50m Rifle 3 Positions","#FF7F00",17,"Men's 10m Air Rifle",9
24,152,53,1,0,0,0,0,"Weightlifting","Women's 53kg","#FF7F00",18,"Women's 53kg",7
22,183,79,0,0,0,0,0,"Diving","Men's 3m Springboard","#377EB8",16,"Men's 3m Springboard",8
31,168,58,0,0,0,0,0,"Athletics","Men's 50km Race Walk","#377EB8",15,"Men's 50km Race Walk",5
23,188,78,0,0,0,0,0,"Football","Men's Football","#FF7F00",16,"Men's Football",1
30,185,85,0,0,0,0,0,"Tennis","Men's Singles, Men's Doubles","#E41A1C",18,"Men's Singles",3
23,175,60,1,0,0,0,0,"Athletics","Women's 200m, Women's 4 x 100m Relay","#377EB8",15,"Women's 200m",2
25,164,57,1,0,0,0,0,"Diving","Women's 3m Springboard, Women's Synchronised 3m Springboard","#377EB8",16,"Women's 3m Springboard",1
32,191,92,0,0,0,0,0,"Rowing","Men's Quadruple Sculls","#4DAF4A",17,"Men's Quadruple Sculls",7
31,168,68,0,0,0,0,0,"Wrestling","Men's 60kg Freestyle","#FFFF33",18,"Men's 60kg Freestyle",5
24,170,65,1,0,0,0,0,"Water Polo","Women's Water Polo","#984EA3",18,"Women's Water Polo",8
33,204,90,0,0,0,0,0,"Volleyball","Men's Volleyball","#4DAF4A",18,"Men's Volleyball",3
22,196,98,0,0,1,0,1,"Swimming","Men's 4x100m Freestyle Relay","#FFFF33",17,"Men's 4x100m Freestyle Relay",7
39,177,60,0,0,0,0,0,"Athletics","Men's Marathon","#377EB8",15,"Men's Marathon",9
21,175,61,1,0,0,0,0,"Athletics","Women's 4 x 400m Relay","#377EB8",15,"Women's 4 x 400m Relay",5
25,192,90,0,0,0,0,0,"Swimming","Men's 100m Breaststroke","#FFFF33",17,"Men's 100m Breaststroke",6
30,189,77,0,0,0,0,0,"Triathlon","Men's Triathlon","#377EB8",18,"Men's Triathlon",10
26,168,55,1,0,0,0,0,"Athletics","Women's 100m, Women's 200m, Women's 4 x 100m Relay","#377EB8",15,"Women's 100m",1
29,165,52,1,0,0,0,0,"Athletics","Women's Marathon, Women's 10,000m","#377EB8",15,"Women's Marathon",9
24,184,62,0,0,0,0,0,"Athletics","Men's Decathlon","#377EB8",15,"Men's Decathlon",8
22,179,78,1,0,0,0,0,"Basketball","Women's Basketball","#984EA3",15,"Women's Basketball",1
25,170,73,0,0,0,0,0,"Athletics","Men's 4 x 100m Relay","#377EB8",15,"Men's 4 x 100m Relay",2
31,189,86,0,0,0,0,0,"Water Polo","Men's Water Polo","#984EA3",18,"Men's Water Polo",5
31,171,67,1,0,0,0,0,"Sailing","Women's Laser Radial","#984EA3",17,"Women's Laser Radial",5
22,186,77,0,0,0,0,0,"Football","Men's Football","#FF7F00",16,"Men's Football",4
25,163,57,1,0,0,1,1,"Table Tennis","Women's Singles, Women's Team","#A65628",17,"Women's Singles",3
32,160,49,1,0,0,0,0,"Athletics","Women's Pole Vault","#377EB8",15,"Women's Pole Vault",8
29,172,63,1,1,0,0,1,"Canoe Slalom","Women's Kayak (K1)","#FFFF33",15,"Women's Kayak (K1)",9
32,176,80,0,0,0,0,0,"Shooting","Men's Skeet","#FF7F00",17,"Men's Skeet",10
32,194,92,0,0,0,0,0,"Canoe Sprint","Men's Kayak Double (K2) 1000m","#A65628",15,"Men's Kayak Double (K2) 1000m",6
36,165,63,1,0,0,0,0,"Athletics","Women's 100m, Women's 200m, Women's 4 x 100m Relay","#377EB8",15,"Women's 100m",4
27,180,82,1,0,0,0,0,"Handball","Women's Handball","#FFFF33",16,"Women's Handball",5
33,167,52,1,0,0,0,0,"Cycling","Women's Individual Time Trial, Women's Road Race","#E41A1C",16,"Women's Individual Time Trial",10
31,166,52,1,0,0,0,0,"Cycling","Women's Road Race","#E41A1C",16,"Women's Road Race",10
29,180,106,0,0,0,0,0,"Shooting","Men's Trap","#FF7F00",17,"Men's Trap",7
22,188,92,0,0,0,0,0,"Handball","Men's Handball","#FFFF33",16,"Men's Handball",4
35,199,106,0,0,0,0,0,"Handball","Men's Handball","#FFFF33",16,"Men's Handball",6
27,174,73,0,0,0,0,0,"Hockey","Men's Hockey","#A65628",16,"Men's Hockey",10
35,170,54,1,0,0,0,0,"Athletics","Women's 1500m","#377EB8",15,"Women's 1500m",1
27,196,84,0,0,0,0,0,"Basketball","Men's Basketball","#984EA3",15,"Men's Basketball",3
35,191,93,0,0,0,0,0,"Rowing","Men's Single Sculls","#4DAF4A",17,"Men's Single Sculls",6
33,193,83,0,0,0,0,0,"Fencing","Men's Individual Epee","#984EA3",16,"Men's Individual Epee",7
35,181,81,0,0,0,0,0,"Sailing","Men's 49er","#984EA3",17,"Men's 49er",10
27,180,74,1,0,0,0,0,"Handball","Women's Handball","#FFFF33",16,"Women's Handball",6
32,180,71,1,0,0,0,0,"Handball","Women's Handball","#FFFF33",16,"Women's Handball",5
25,178,75,1,0,0,0,0,"Beach Volleyball","Women's Beach Volleyball","#FF7F00",15,"Women's Beach Volleyball",2
24,182,73,0,0,0,0,0,"Modern Pentathlon","Men's Modern Pentathlon","#377EB8",17,"Men's Modern Pentathlon",1
26,180,65,1,0,0,0,0,"Swimming","Women's 50m Freestyle, Women's 4x100m Freestyle Relay","#FFFF33",17,"Women's 50m Freestyle",3
20,165,53,1,0,0,0,0,"Cycling","Women's Cross-country, Women's Road Race","#E41A1C",16,"Women's Cross-country",2
24,183,76,0,0,0,0,0,"Canoe Slalom","Men's Canoe Double (C2)","#FFFF33",15,"Men's Canoe Double (C2)",7
32,172,66,1,0,0,0,0,"Volleyball","Women's Volleyball","#4DAF4A",18,"Women's Volleyball",2
25,165,75,1,0,0,0,0,"Weightlifting","Women's 75kg","#FF7F00",18,"Women's 75kg",2
33,182,70,1,0,0,0,0,"Basketball","Women's Basketball","#984EA3",15,"Women's Basketball",8
30,175,73,0,0,0,0,0,"Tennis","Men's Singles, Men's Doubles","#E41A1C",18,"Men's Singles",3
24,190,72,0,0,0,0,0,"Athletics","Men's High Jump","#377EB8",15,"Men's High Jump",9
24,182,62,1,0,0,0,0,"Athletics","Women's 800m","#377EB8",15,"Women's 800m",2
23,204,90,0,0,0,1,1,"Swimming","Men's 50m Freestyle, Men's 4x100m Freestyle Relay","#FFFF33",17,"Men's 50m Freestyle",2
22,178,74,0,0,0,0,0,"Football","Men's Football","#FF7F00",16,"Men's Football",7
16,163,60,1,0,0,0,0,"Football","Women's Football","#FF7F00",16,"Women's Football",2
24,189,123,0,0,0,0,0,"Judo","Men's +100kg","#E41A1C",17,"Men's +100kg",1
21,168,56,1,0,0,0,0,"Fencing","Women's Individual Epee, Women's Team Epee","#984EA3",16,"Women's Individual Epee",2
34,193,87,0,0,0,0,0,"Fencing","Men's Individual Epee","#984EA3",16,"Men's Individual Epee",10
19,183,91,0,0,0,0,0,"Cycling","Men's BMX","#E41A1C",16,"Men's BMX",1
33,176,70,0,0,0,0,0,"Athletics","Men's Hammer Throw","#377EB8",15,"Men's Hammer Throw",7
33,183,90,0,0,0,0,0,"Water Polo","Men's Water Polo","#984EA3",18,"Men's Water Polo",9
28,192,98,0,0,0,0,0,"Water Polo","Men's Water Polo","#984EA3",18,"Men's Water Polo",1
28,163,51,1,0,0,0,0,"Athletics","Women's 3000m Steeplechase","#377EB8",15,"Women's 3000m Steeplechase",2
27,170,66,0,0,0,0,0,"Judo","Men's -66kg","#E41A1C",17,"Men's -66kg",2
29,170,75,0,0,0,0,0,"Football","Men's Football","#FF7F00",16,"Men's Football",5
29,165,62,0,0,1,0,1,"Weightlifting","Men's 62kg","#FF7F00",18,"Men's 62kg",5
25,186,81,0,0,0,0,0,"Beach Volleyball","Men's Beach Volleyball","#FF7F00",15,"Men's Beach Volleyball",7
33,172,55,0,0,0,0,0,"Athletics","Men's Marathon","#377EB8",15,"Men's Marathon",1
28,174,58,1,0,0,0,0,"Athletics","Women's 800m","#377EB8",15,"Women's 800m",4
23,193,78,0,0,0,0,0,"Swimming","Men's 4x100m Freestyle Relay","#FFFF33",17,"Men's 4x100m Freestyle Relay",6
21,169,58,1,0,0,0,0,"Football","Women's Football","#FF7F00",16,"Women's Football",8
25,152,52,1,0,0,1,1,"Diving","Women's 10m Platform, Women's Synchronised 10m Platform","#377EB8",16,"Women's 10m Platform",2
30,180,72,1,0,0,0,0,"Basketball","Women's Basketball","#984EA3",15,"Women's Basketball",6
25,193,91,0,0,0,0,0,"Water Polo","Men's Water Polo","#984EA3",18,"Men's Water Polo",3
33,182,72,0,0,0,0,0,"Athletics","Men's 50km Race Walk","#377EB8",15,"Men's 50km Race Walk",3
33,182,73,0,0,0,0,0,"Athletics","Men's 20km Race Walk","#377EB8",15,"Men's 20km Race Walk",1
25,186,63,1,0,0,0,0,"Swimming","Women's 200m Backstroke","#FFFF33",17,"Women's 200m Backstroke",8
25,190,78,0,0,0,0,0,"Athletics","Men's Pole Vault","#377EB8",15,"Men's Pole Vault",5
20,192,80,0,0,0,0,0,"Athletics","Men's Pole Vault","#377EB8",15,"Men's Pole Vault",6
28,167,48,1,0,0,0,0,"Athletics","Women's Marathon","#377EB8",15,"Women's Marathon",7
23,173,63,1,0,0,0,0,"Swimming","Women's 100m Freestyle, Women's 200m Freestyle","#FFFF33",17,"Women's 100m Freestyle",5
18,167,55,1,0,0,0,0,"Swimming","Women's 100m Freestyle","#FFFF33",17,"Women's 100m Freestyle",3
32,173,57,1,0,0,0,0,"Judo","Women's -57kg","#E41A1C",17,"Women's -57kg",10
26,186,81,0,0,0,0,0,"Swimming","Men's 4x100m Medley Relay","#FFFF33",17,"Men's 4x100m Medley Relay",10
23,170,55,1,0,0,0,0,"Triathlon","Women's Triathlon","#377EB8",18,"Women's Triathlon",4
23,163,62,1,0,0,0,0,"Hockey","Women's Hockey","#A65628",16,"Women's Hockey",10
23,169,90,1,0,0,0,0,"Athletics","Women's Hammer Throw","#377EB8",15,"Women's Hammer Throw",1
18,178,72,0,0,0,0,0,"Swimming","Men's 200m Butterfly","#FFFF33",17,"Men's 200m Butterfly",8
28,191,86,0,0,0,0,0,"Water Polo","Men's Water Polo","#984EA3",18,"Men's Water Polo",2
25,170,58,1,0,0,0,0,"Badminton","Women's Singles","#4DAF4A",15,"Women's Singles",5
29,178,68,1,0,0,0,0,"Athletics","Women's 400m, Women's 4 x 400m Relay","#377EB8",15,"Women's 400m",6
33,188,78,0,0,0,1,1,"Badminton","Mixed Doubles","#4DAF4A",15,"Mixed Doubles",7
22,192,95,1,0,0,0,0,"Athletics","Women's Discus Throw","#377EB8",15,"Women's Discus Throw",2
28,175,68,1,0,0,0,0,"Football","Women's Football","#FF7F00",16,"Women's Football",3
24,174,63,1,0,0,0,0,"Athletics","Women's Shot Put","#377EB8",15,"Women's Shot Put",1
21,186,85,0,0,0,0,0,"Canoe Sprint","Men's Kayak Double (K2) 1000m","#A65628",15,"Men's Kayak Double (K2) 1000m",9
20,180,67,1,0,0,0,0,"Hockey","Women's Hockey","#A65628",16,"Women's Hockey",1
31,165,48,1,0,0,0,0,"Athletics","Women's Marathon","#377EB8",15,"Women's Marathon",7
19,185,70,0,0,0,0,0,"Sailing","Men's 470","#984EA3",17,"Men's 470",1
18,179,69,0,0,0,0,0,"Sailing","Men's RS-X","#984EA3",17,"Men's RS-X",4
27,188,78,0,0,0,0,0,"Tennis","Men's Doubles","#E41A1C",18,"Men's Doubles",2
40,171,55,1,0,0,0,0,"Fencing","Women's Individual Epee","#984EA3",16,"Women's Individual Epee",4
31,178,65,1,0,0,0,0,"Handball","Women's Handball","#FFFF33",16,"Women's Handball",3
32,177,75,1,0,0,0,0,"Rowing","Women's Quadruple Sculls","#4DAF4A",17,"Women's Quadruple Sculls",10
26,175,78,1,0,0,0,0,"Canoe Sprint","Women's Kayak Double (K2) 500m","#A65628",15,"Women's Kayak Double (K2) 500m",2
29,188,77,0,0,1,0,1,"Canoe Slalom","Men's Canoe Single (C1), Men's Canoe Double (C2)","#FFFF33",15,"Men's Canoe Single (C1)",6
30,170,60,0,0,0,0,0,"Sailing","Men's RS-X","#984EA3",17,"Men's RS-X",8
27,170,59,1,0,0,0,0,"Athletics","Women's 100m Hurdles","#377EB8",15,"Women's 100m Hurdles",10
30,180,64,0,0,0,0,0,"Athletics","Men's 3000m Steeplechase","#377EB8",15,"Men's 3000m Steeplechase",2
22,168,60,1,0,0,0,0,"Hockey","Women's Hockey","#A65628",16,"Women's Hockey",8
25,185,90,0,0,0,1,1,"Rowing","Men's Eight","#4DAF4A",17,"Men's Eight",5
28,174,67,1,0,0,0,0,"Canoe Sprint","Women's Kayak Double (K2) 500m, Women's Kayak Four (K4) 500m","#A65628",15,"Women's Kayak Double (K2) 500m",1
21,179,65,1,0,0,0,0,"Handball","Women's Handball","#FFFF33",16,"Women's Handball",6
29,156,63,1,0,0,0,0,"Hockey","Women's Hockey","#A65628",16,"Women's Hockey",6
26,174,90,0,0,0,1,1,"Cycling","Men's Cross-country, Men's Sprint, Men's Team Sprint","#E41A1C",16,"Men's Cross-country",7
32,191,88,0,0,0,1,1,"Rowing","Men's Quadruple Sculls","#4DAF4A",17,"Men's Quadruple Sculls",8
29,189,135,0,0,0,0,0,"Athletics","Men's Shot Put","#377EB8",15,"Men's Shot Put",2
24,199,97,0,0,0,0,0,"Rowing","Men's Quadruple Sculls","#4DAF4A",17,"Men's Quadruple Sculls",8
27,172,62,1,0,0,0,0,"Swimming","Women's 200m Breaststroke","#FFFF33",17,"Women's 200m Breaststroke",1
37,165,62,1,0,0,0,0,"Athletics","Women's 100m Hurdles","#377EB8",15,"Women's 100m Hurdles",1
33,183,84,0,0,0,0,0,"Canoe Sprint","Men's Kayak Single (K1) 1000m","#A65628",15,"Men's Kayak Single (K1) 1000m",9
31,170,64,1,0,0,0,0,"Athletics","Women's Heptathlon","#377EB8",15,"Women's Heptathlon",8
24,187,86,0,0,0,0,0,"Water Polo","Men's Water Polo","#984EA3",18,"Men's Water Polo",1
25,196,98,0,0,0,0,0,"Athletics","Men's 110m Hurdles","#377EB8",15,"Men's 110m Hurdles",2
25,155,59,1,0,0,0,0,"Canoe Sprint","Women's Kayak Single (K1) 200m, Women's Kayak Single (K1) 500m","#A65628",15,"Women's Kayak Single (K1) 200m",9
23,170,73,0,0,0,0,0,"Canoe Sprint","Men's Kayak Double (K2) 1000m, Men's Kayak Double (K2) 200m","#A65628",15,"Men's Kayak Double (K2) 1000m",4
26,196,91,1,0,0,0,0,"Basketball","Women's Basketball","#984EA3",15,"Women's Basketball",2
29,183,79,0,0,0,0,0,"Hockey","Men's Hockey","#A65628",16,"Men's Hockey",10
18,166,60,1,0,1,0,1,"Canoe Slalom","Women's Kayak (K1)","#FFFF33",15,"Women's Kayak (K1)",3
29,175,70,0,0,0,0,0,"Rowing","Men's Lightweight Double Sculls","#4DAF4A",17,"Men's Lightweight Double Sculls",9
30,174,68,1,0,0,0,0,"Beach Volleyball","Women's Beach Volleyball","#FF7F00",15,"Women's Beach Volleyball",7
29,188,79,1,1,0,0,1,"Rowing","Women's Eight","#4DAF4A",17,"Women's Eight",1
23,183,77,0,0,0,0,0,"Swimming","Men's 100m Backstroke, Men's 4x100m Medley Relay","#FFFF33",17,"Men's 100m Backstroke",4
28,178,65,1,0,0,0,0,"Football","Women's Football","#FF7F00",16,"Women's Football",5
21,170,49,1,0,0,0,0,"Athletics","Women's 20km Race Walk","#377EB8",15,"Women's 20km Race Walk",3
35,160,57,1,0,0,0,0,"Hockey","Women's Hockey","#A65628",16,"Women's Hockey",5
30,172,57,1,0,0,0,0,"Athletics","Women's Javelin Throw","#377EB8",15,"Women's Javelin Throw",10
32,188,86,0,0,0,0,0,"Rowing","Men's Pair","#4DAF4A",17,"Men's Pair",2
24,168,57,1,0,0,0,0,"Athletics","Women's 3000m Steeplechase","#377EB8",15,"Women's 3000m Steeplechase",7
36,181,110,0,1,0,0,1,"Archery","Men's Individual, Men's Team","#E41A1C",15,"Men's Individual",7
25,180,66,1,0,0,0,0,"Handball","Women's Handball","#FFFF33",16,"Women's Handball",2
22,195,88,0,0,0,0,0,"Table Tennis","Men's Team","#A65628",17,"Men's Team",4
32,182,78,1,0,0,0,0,"Hockey","Women's Hockey","#A65628",16,"Women's Hockey",8
17,185,75,1,2,0,1,3,"Swimming","Women's 100m Freestyle, Women's 200m Freestyle, Women's 100m Backstroke, Women's 200m Backstroke, Women's 4x100m Freestyle Relay, Women's 4x200m Freestyle Relay, Women's 4x100m Medley Relay","#FFFF33",17,"Women's 100m Freestyle",10
32,173,55,1,0,0,0,0,"Shooting","Women's 10m Air Pistol, Women's 25m Pistol","#FF7F00",17,"Women's 10m Air Pistol",4
25,169,72,1,0,0,0,0,"Wrestling","Women's 72kg Freestyle","#FFFF33",18,"Women's 72kg Freestyle",4
32,180,75,1,0,0,0,0,"Rowing","Women's Quadruple Sculls","#4DAF4A",17,"Women's Quadruple Sculls",6
22,188,84,0,0,0,0,0,"Swimming","Men's 50m Freestyle, Men's 100m Freestyle, Men's 200m Freestyle","#FFFF33",17,"Men's 50m Freestyle",10
24,186,86,0,0,0,0,0,"Swimming","Men's 100m Freestyle, Men's 200m Freestyle","#FFFF33",17,"Men's 100m Freestyle",3
21,172,73,0,0,0,0,0,"Athletics","Men's 100m","#377EB8",15,"Men's 100m",10
20,194,85,0,0,0,0,0,"Swimming","Men's 200m Freestyle, Men's 400m Individual Medley, Men's 4x200m Freestyle Relay","#FFFF33",17,"Men's 200m Freestyle",7
19,186,80,0,0,0,0,0,"Rowing","Men's Single Sculls","#4DAF4A",17,"Men's Single Sculls",8
25,152,57,1,0,0,0,0,"Athletics","Women's 100m, Women's 200m, Women's 4 x 100m Relay","#377EB8",15,"Women's 100m",3
26,178,72,1,0,0,0,0,"Water Polo","Women's Water Polo","#984EA3",18,"Women's Water Polo",1
29,175,75,0,0,0,0,0,"Athletics","Men's 100m, Men's 4 x 100m Relay","#377EB8",15,"Men's 100m",6
28,191,95,0,0,0,0,0,"Rowing","Men's Quadruple Sculls","#4DAF4A",17,"Men's Quadruple Sculls",8
33,173,66,0,0,0,0,0,"Wrestling","Men's 66kg Freestyle","#FFFF33",18,"Men's 66kg Freestyle",10
22,188,79,0,0,0,0,0,"Athletics","Men's Long Jump, Men's Triple Jump","#377EB8",15,"Men's Long Jump",3
22,178,68,0,0,0,0,0,"Athletics","Men's 400m Hurdles, Men's 4 x 400m Relay","#377EB8",15,"Men's 400m Hurdles",1
31,171,54,1,0,0,0,0,"Triathlon","Women's Triathlon","#377EB8",18,"Women's Triathlon",4
25,211,111,0,0,0,0,0,"Basketball","Men's Basketball","#984EA3",15,"Men's Basketball",4
23,183,78,0,0,0,0,0,"Football","Men's Football","#FF7F00",16,"Men's Football",4
24,196,92,0,0,0,0,0,"Athletics","Men's Decathlon","#377EB8",15,"Men's Decathlon",4
22,187,82,0,0,0,0,0,"Sailing","Men's 49er","#984EA3",17,"Men's 49er",7
24,181,75,0,0,0,0,0,"Table Tennis","Men's Singles, Men's Team","#A65628",17,"Men's Singles",2
22,172,58,1,0,0,0,0,"Sailing","Women's RS-X","#984EA3",17,"Women's RS-X",8
29,181,85,0,0,0,0,0,"Hockey","Men's Hockey","#A65628",16,"Men's Hockey",7
22,191,86,0,0,0,0,0,"Volleyball","Men's Volleyball","#4DAF4A",18,"Men's Volleyball",6
26,195,90,0,0,0,0,0,"Basketball","Men's Basketball","#984EA3",15,"Men's Basketball",9
28,179,57,1,0,0,0,0,"Athletics","Women's High Jump","#377EB8",15,"Women's High Jump",7
24,183,74,1,0,0,0,0,"Swimming","Women's 400m Freestyle, Women's 800m Freestyle, Women's 4x100m Freestyle Relay","#FFFF33",17,"Women's 400m Freestyle",3
20,180,75,0,0,0,0,0,"Football","Men's Football","#FF7F00",16,"Men's Football",7
28,168,50,1,0,0,0,0,"Triathlon","Women's Triathlon","#377EB8",18,"Women's Triathlon",10
27,183,110,1,0,0,0,0,"Athletics","Women's Hammer Throw","#377EB8",15,"Women's Hammer Throw",8
30,194,75,0,0,0,0,0,"Triathlon","Men's Triathlon","#377EB8",18,"Men's Triathlon",5
37,184,80,0,0,0,0,0,"Swimming","Men's 100m Butterfly","#FFFF33",17,"Men's 100m Butterfly",7
20,190,84,0,0,0,0,0,"Swimming","Men's 400m Freestyle, Men's 1500m Freestyle","#FFFF33",17,"Men's 400m Freestyle",3
27,185,71,0,0,0,1,1,"Cycling","Men's Individual Time Trial, Men's Road Race","#E41A1C",16,"Men's Individual Time Trial",5
24,200,100,0,0,0,0,0,"Athletics","Men's Javelin Throw","#377EB8",15,"Men's Javelin Throw",2
34,166,58,1,0,0,0,0,"Hockey","Women's Hockey","#A65628",16,"Women's Hockey",2
28,181,77,0,0,0,0,0,"Badminton","Men's Doubles","#4DAF4A",15,"Men's Doubles",7
16,177,63,1,0,0,0,0,"Swimming","Women's 100m Backstroke","#FFFF33",17,"Women's 100m Backstroke",8
22,182,100,0,0,0,0,0,"Athletics","Men's Shot Put","#377EB8",15,"Men's Shot Put",7
25,161,50,1,0,0,0,0,"Athletics","Women's 20km Race Walk","#377EB8",15,"Women's 20km Race Walk",1
20,186,72,0,0,0,0,0,"Hockey","Men's Hockey","#A65628",16,"Men's Hockey",9
30,181,87,0,0,0,0,0,"Badminton","Mixed Doubles","#4DAF4A",15,"Mixed Doubles",5
22,183,70,1,0,0,0,0,"Handball","Women's Handball","#FFFF33",16,"Women's Handball",5
33,154,48,1,0,0,0,0,"Fencing","Women's Individual Foil","#984EA3",16,"Women's Individual Foil",2
20,170,70,0,0,0,0,0,"Football","Men's Football","#FF7F00",16,"Men's Football",10
27,190,92,0,0,0,0,0,"Hockey","Men's Hockey","#A65628",16,"Men's Hockey",1
27,182,69,0,0,0,0,0,"Cycling","Men's Individual Time Trial, Men's Road Race","#E41A1C",16,"Men's Individual Time Trial",2
23,160,60,1,0,0,0,0,"Badminton","Women's Doubles","#4DAF4A",15,"Women's Doubles",8
27,184,77,0,0,0,0,0,"Swimming","Men's 100m Butterfly, Men's 4x100m Medley Relay","#FFFF33",17,"Men's 100m Butterfly",8
30,174,66,0,0,0,0,0,"Wrestling","Men's 66kg Greco-Roman","#FFFF33",18,"Men's 66kg Greco-Roman",2
31,157,51,1,0,0,0,0,"Hockey","Women's Hockey","#A65628",16,"Women's Hockey",7
24,164,56,0,0,0,0,0,"Athletics","Men's 20km Race Walk","#377EB8",15,"Men's 20km Race Walk",7
30,167,54,0,0,0,0,0,"Athletics","Men's Marathon","#377EB8",15,"Men's Marathon",2
25,179,77,0,0,0,0,0,"Tennis","Men's Singles","#E41A1C",18,"Men's Singles",2
30,170,58,1,0,0,0,0,"Sailing","Women's RS-X","#984EA3",17,"Women's RS-X",3
29,176,75,0,0,0,0,0,"Shooting","Men's Double Trap","#FF7F00",17,"Men's Double Trap",1
29,180,75,1,0,0,0,0,"Rowing","Women's Double Sculls","#4DAF4A",17,"Women's Double Sculls",10
30,189,90,0,0,0,0,0,"Rowing","Men's Four","#4DAF4A",17,"Men's Four",10
31,193,81,1,0,0,0,0,"Rowing","Women's Quadruple Sculls","#4DAF4A",17,"Women's Quadruple Sculls",6
22,172,59,1,0,0,0,0,"Swimming","Women's 50m Freestyle, Women's 100m Freestyle, Women's 100m Butterfly, Women's 4x100m Freestyle Relay","#FFFF33",17,"Women's 50m Freestyle",3
29,188,95,0,0,0,0,0,"Rowing","Men's Eight","#4DAF4A",17,"Men's Eight",1
30,167,60,0,0,0,0,0,"Swimming","Men's 10km Marathon","#FFFF33",17,"Men's 10km Marathon",4
39,171,72,0,0,0,0,0,"Shooting","Men's 50m Pistol, Men's 10m Air Pistol","#FF7F00",17,"Men's 50m Pistol",1
32,187,105,0,0,0,0,0,"Weightlifting","Men's +105kg","#FF7F00",18,"Men's +105kg",7
28,202,96,0,0,0,0,0,"Athletics","Men's 4 x 400m Relay","#377EB8",15,"Men's 4 x 400m Relay",4
23,171,61,1,0,0,0,0,"Fencing","Women's Individual Foil, Women's Team Foil","#984EA3",16,"Women's Individual Foil",8
20,173,64,0,0,0,0,0,"Football","Men's Football","#FF7F00",16,"Men's Football",2
31,186,66,0,0,0,0,0,"Athletics","Men's 5000m","#377EB8",15,"Men's 5000m",1
16,170,45,1,0,0,0,0,"Athletics","Women's 200m","#377EB8",15,"Women's 200m",9
